fulcrum_id,created_at,updated_at,created_by,updated_by,system_created_at,system_updated_at,version,status,project,assigned_to,y,x,geometry,name,type
13b10903-7bd7-40fe-98c0-d5ebdfc03b75,2015-06-30 23:34:02 UTC,2015-06-30 23:34:02 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:02 UTC,2015-06-30 23:34:02 UTC,1,"","","",39.769741,-104.972814,POINT (-104.972814 39.769741),Black Shirt Brewing Co,
ae3b8140-8e11-468f-999b-a025fed7d5e7,2015-06-30 23:34:02 UTC,2015-06-30 23:34:02 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:02 UTC,2015-06-30 23:34:02 UTC,1,"","","",39.723474,-105.000293,POINT (-105.000293 39.723474),Breckenridge Brewery,
1e9d1d1f-d592-4889-a33d-ed3b3cc2b738,2015-06-30 23:34:02 UTC,2015-06-30 23:34:02 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:02 UTC,2015-06-30 23:34:02 UTC,1,"","","",39.703027,-104.932437,POINT (-104.932437 39.703027),Bull & Bush,
1746c821-68c6-4612-9f33-1f7ab6b1009b,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.692681,-104.89134,POINT (-104.89134 39.692681),Copper Kettle Brewing Company,
eeb8f546-d45a-4b3a-9389-abc7d467ae66,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.768771,-104.979568,POINT (-104.979568 39.768771),Crooked Stave Artisan Beer Project,
367638bc-a90c-4690-8bd8-bc6eba2852f7,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.776111,-105.043517,POINT (-105.043517 39.776111),De Steeg Brewing,
e562bf4e-d6cf-4149-8092-a4868e858744,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.758362,-105.007108,POINT (-105.007108 39.758362),Denver Beer Co,
683084a3-ffe6-4e0a-87ac-35bae0efecb6,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.75496,-104.997416,POINT (-104.997416 39.75496),Denver ChopHouse & Brewery,
0261e0c5-5a0f-405b-a8e6-8179e08f23b0,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.76332,-104.981415,POINT (-104.981415 39.76332),Epic Brewing Company,
d63be64f-e2a4-4cc3-a829-a404664b7fc0,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.753656,-104.988457,POINT (-104.988457 39.753656),Great Divide Brewing Co,
4214729b-aa46-4714-9722-08c41a098700,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.758255,-105.045073,POINT (-105.045073 39.758255),Hogshead Brewery,
19ec6b60-e0ca-4196-81e2-18137024b2f7,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.760606,-104.982494,POINT (-104.982494 39.760606),Our Mutual Friend Brewing,
c4e84910-9219-4461-bb4b-81934ee3766e,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.76139,-105.006671,POINT (-105.006671 39.76139),Prost Brewing Company,
eed924a0-f04d-449e-aa94-6e8fc895e679,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.730616,-104.999312,POINT (-104.999312 39.730616),Renegade Brewing Company,
4e6d5be1-871a-4f58-8413-334fd6e5f10a,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.758217,-104.989474,POINT (-104.989474 39.758217),River North Brewery,
d7a4e212-614e-441e-a9b9-3b97aed31f28,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.737228,-105.015268,POINT (-105.015268 39.737228),Strange Brewing Company,
1662e94c-c2c0-4f3c-a6ac-42442b90e860,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.719958,-104.987665,POINT (-104.987665 39.719958),TRVE Brewing Co.,
247aa366-a60f-41a6-980d-5aac7631bd6f,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:03 UTC,2015-06-30 23:34:03 UTC,1,"","","",39.720619,-105.017491,POINT (-105.017491 39.720619),Wit's End Brewing Company,
20204fd4-0d4f-4a30-93a2-4bc377a38104,2015-06-30 23:34:04 UTC,2015-06-30 23:34:04 UTC,katrina@fulcrumapp.com,katrina@fulcrumapp.com,2015-06-30 23:34:04 UTC,2015-06-30 23:34:04 UTC,1,"","","",39.753504,-104.998373,POINT (-104.998373 39.753504),Wynkoop Brewing Company,
